month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2010-01,2010-01-04,8166.0,2010-01-29,7580.0,-0.05938729999999996,26,0.999406127,-0.05938730000000225,0.0
2010-02,2010-02-01,7513.0,2010-02-26,7383.0,-0.01374479999999994,26,0.999268760626656,-0.07312393733439615,-0.013744800000003998
2010-03,2010-03-01,7575.0,2010-03-31,7906.0,0.0323259500000001,31,0.9995917837465819,-0.04082162534181366,0.0
2010-04,2010-04-01,8025.0,2010-04-30,7989.0,-0.0044006999999999605,30,0.9995477947109546,-0.045220528904543755,-0.004400699999995705
2010-05,2010-05-03,7931.0,2010-05-31,7325.0,-0.06136279999999988,29,0.9989344441967817,-0.1065555803218321,-0.06576079960725068
2010-06,2010-06-01,7244.0,2010-06-30,7153.0,-0.009819849999999861,30,0.9988363503327632,-0.11636496672368102,-0.07557419199537563
2010-07,2010-07-01,7101.0,2010-07-30,7682.0,0.05736085000000012,30,0.9994092913534232,-0.0590708646576843,-0.018256691994278373
2010-08,2010-08-02,7870.0,2010-08-31,7557.0,-0.032071349999999894,30,0.9990887673016607,-0.09112326983392594,-0.050322186826678994
2010-09,2010-09-01,7630.0,2010-09-30,8219.0,0.05810755000000017,30,0.9996693133066649,-0.0330686693335136,0.0
2010-10,2010-10-01,8238.0,2010-10-29,8302.0,0.005573000000000139,29,0.9997250248774954,-0.02749751225046282,0.0
2010-11,2010-11-01,8393.0,2010-11-30,8401.0,-3.9699999999902506e-05,30,0.9997246279866605,-0.027537201333949213,-3.9699999998532576e-05
2010-12,2010-12-01,8550.0,2010-12-31,8988.0,0.04292310000000016,31,1.000153740788456,0.01537407884559805,0.0
2011-01,2011-01-03,9020.0,2011-01-28,9138.0,0.010892100000000028,26,1.0002626785340565,0.02626785340564819,0.0
2011-02,2011-02-08,9099.0,2011-02-25,8615.0,-0.049285699999999814,18,0.9997696920711022,-0.023030792889777718,-0.04928570000000132
2011-03,2011-03-01,8691.0,2011-03-31,8642.0,-0.005766649999999936,31,0.9997120388521543,-0.02879611478456834,-0.05504950786618945
2011-04,2011-04-01,8686.0,2011-04-29,9027.0,0.03321435000000019,29,1.000044086707731,0.004408670773092815,-0.021853442202390827
2011-05,2011-05-03,8926.0,2011-05-31,9021.0,0.008602649999999995,29,1.000130117000356,0.013011700035603369,-0.01325267217754389
2011-06,2011-06-01,9092.0,2011-06-30,8503.0,-0.059779750000000055,30,0.9995322417167385,-0.046775828326151014,-0.07302449976325232
2011-07,2011-07-01,8566.0,2011-07-29,8613.0,0.0038410500000001777,29,0.9995706342499089,-0.04293657500911152,-0.06918625467080552
2011-08,2011-08-01,8681.0,2011-08-31,7707.0,-0.09821939999999996,31,0.9985888619703724,-0.14111380296275566,-0.16733770034658146
2011-09,2011-09-01,7700.0,2011-09-30,7182.0,-0.052544099999999885,30,0.99806416244015,-0.1935837559850051,-0.21979387425796748
2011-10,2011-10-03,7015.0,2011-10-31,7561.0,0.05387120000000004,29,0.9986018315812264,-0.13981684187736043,-0.16604107985556116
2011-11,2011-11-01,7637.0,2011-11-30,6903.0,-0.07412699999999986,30,0.9978615980015302,-0.21384019984698188,-0.24004499858429895
2011-12,2011-12-01,7210.0,2011-12-30,7040.0,-0.01771249999999991,30,0.9976848517659842,-0.23151482340157958,-0.2577149806139212
2012-01,2012-01-02,6949.0,2012-01-31,7467.0,0.05107920000000012,30,0.9981944612067875,-0.18055387932125466,-0.20676741936429544
2012-02,2012-02-01,7522.0,2012-02-29,8114.0,0.058418200000000066,29,0.9987775884435243,-0.12224115564757332,-0.1484700091688662
2012-03,2012-03-01,8138.0,2012-03-30,7883.0,-0.02630104999999994,30,0.9985148994505989,-0.14851005494010971,-0.1747320099975136
2012-04,2012-04-02,7866.0,2012-04-30,7464.0,-0.040966499999999996,29,0.9981058428443155,-0.18941571556845282,-0.21562692840864095
2012-05,2012-05-02,7678.0,2012-05-31,7216.0,-0.04694469999999992,30,0.9976372850507098,-0.236271494929019,-0.26247040299397506
2012-06,2012-06-01,7100.0,2012-06-29,7114.0,0.0006893000000000938,29,0.9976441617645155,-0.23558382354844642,-0.2617829122024795
2012-07,2012-07-02,7135.0,2012-07-31,7156.0,0.001385450000000128,30,0.9976579836255546,-0.23420163744454214,-0.2604010890738473
2012-08,2012-08-01,7194.0,2012-08-31,7383.0,0.018171150000000035,31,0.9978392695542462,-0.21607304457538223,-0.24227725694634383
2012-09,2012-09-03,7443.0,2012-09-28,7720.0,0.026941850000000066,26,0.9981081059134906,-0.18918940865093603,-0.2154006809214848
2012-10,2012-10-01,7685.0,2012-10-31,7140.0,-0.05524124999999995,31,0.9975567385194326,-0.24432614805673936,-0.2705229408928478
2012-11,2012-11-01,7172.0,2012-11-30,7593.0,0.04136175000000012,30,0.9979693454437272,-0.20306545562728262,-0.22927308391534895
2012-12,2012-12-03,7599.0,2012-12-28,7675.0,0.006836300000000119,26,0.9980375696220898,-0.1962430377910218,-0.22245245771118638
2013-01,2013-01-02,7772.0,2013-01-31,7848.0,0.006819000000000051,30,0.9981056258039622,-0.18943741960377736,-0.21564862674428031
2013-02,2013-02-01,7858.0,2013-02-27,7879.0,0.0013131500000001324,27,0.9981187324279875,-0.18812675720124572,-0.2143383085342121
2013-03,2013-03-01,7936.0,2013-03-29,7923.0,-0.0020929499999999277,29,0.9980978423019772,-0.19021576980228216,-0.21642677254058995
